D1	121	8	0
D2	193	137	1
Z01	205	92	2
Z02	159	62	3
Z03	143	38	4
Z04	108	80	5
Z05	55	38	6
Z06	62	105	7
Z07	18	108	8
Z08	226	43	9
F01	135	142	10
F02	127	143	11
F03	124	129	12
F04	115	130	13
F05	105	130	14
F06	108	145	15
F07	90	145	16
F08	72	142	17
F09	60	139	18
F10	70	121	19
F11	100	121	20
F12	53	132	21
F13	37	127	22
F14	25	120	23
F15	15	115	24
F16	7	105	25
F17	28	106	26
F18	24	90	27
F19	45	90	28
F20	49	82	29
F21	16	76	30
F22	15	70	31
F23	14	56	32
F24	168	126	33
F25	165	117	34
F26	165	105	35
F27	145	113	36
F28	132	100	37
F29	130	94	38
F30	130	80	39
F31	110	100	40
F32	114	90	41
F33	95	90	42
F34	95	77	43
F35	106	63	44
F36	86	75	45
F37	72	70	46
F38	74	60	47
F39	79	53	48
F40	68	46	49
F41	46	20	50
F42	59	15	51
F43	77	5	52
F44	240	127	53
F45	240	107	54
F46	230	100	55
F47	220	98	56
F48	158	77	57
F49	176	75	58
F50	206	77	59
F51	184	62	60
F52	215	62	61
F53	227	64	62
F54	206	46	63
F55	231	49	64
F56	232	37	65
F57	148	15	66
F58	170	17	67
F59	201	22	68
F60	224	20	69
J01	237	137	70
J02	232	127	71
J03	204	119	72
J04	188	100	73
J05	168	94	74
J06	143	74	75
J07	117	67	76
J08	122	48	77
J09	108	38	78
J10	102	23	79
J11	99	3	80
J12	170	145	81
J13	150	133	82
J14	140	120	83
J15	105	108	84
J16	85	92	85
J17	63	73	86
J18	53	57	87
J19	37	41	88
J20	18	37	89
J21	130	135	90
J22	110	139	91
J23	93	138	92
J24	66	132	93
J25	86	122	94
J26	49	123	95
J28	37	91	96
J29	44	74	97
J30	24	75	98
J31	23	57	99
J32	175	132	100
J33	175	115	101
J34	155	105	102
J35	140	105	103
J36	137	87	104
J37	106	94	105
J38	102	72	106
J39	77	79	107
J40	83	65	108
J41	58	47	109
J42	93	45	110
J43	33	29	111
J44	58	24	112
J45	80	30	113
J46	80	13	114
J47	234	118	115
J48	220	110	116
J49	168	83	117
J50	193	78	118
J51	149	68	119
J52	143	55	120
J53	195	60	121
J54	164	50	122
J55	183	50	123
J56	221	54	124
J57	165	40	125
J58	178	33	126
J59	196	39	127
J61	160	18	128
J62	214	23	129
