D1	121	8	0
D2	193	137	1
Z01	205	92	2
Z02	159	62	3
Z03	143	38	4
Z04	108	80	5
Z05	55	38	6
Z06	62	105	7
F01	135	142	8
F02	127	143	9
F03	124	129	10
F04	115	130	11
F05	105	130	12
F06	108	145	13
F07	90	145	14
F08	72	142	15
F09	60	139	16
F10	70	121	17
F11	100	121	18
F12	53	132	19
F13	37	127	20
F14	25	120	21
F15	15	115	22
F16	7	105	23
F17	28	106	24
F18	24	90	25
F19	45	90	26
F20	49	82	27
F21	16	76	28
F22	15	70	29
F23	14	56	30
F24	168	126	31
F25	165	117	32
F26	165	105	33
F27	145	113	34
F28	132	100	35
F29	130	94	36
F30	130	80	37
F31	110	100	38
F32	114	90	39
F33	95	90	40
F34	95	77	41
F35	106	63	42
F36	86	75	43
F37	72	70	44
F38	74	60	45
F39	79	53	46
F40	68	46	47
F41	46	20	48
F42	59	15	49
F43	77	5	50
F44	240	127	51
F45	240	107	52
F46	230	100	53
F47	220	98	54
F48	158	77	55
F49	176	75	56
F50	206	77	57
F51	184	62	58
F52	215	62	59
F53	227	64	60
F54	206	46	61
F55	231	49	62
F56	232	37	63
F57	148	15	64
F58	170	17	65
F59	201	22	66
F60	224	20	67
J01	237	137	68
J02	232	127	69
J03	204	119	70
J04	188	100	71
J05	168	94	72
J06	143	74	73
J07	117	67	74
J08	122	48	75
J09	108	38	76
J10	102	23	77
J11	99	3	78
J12	170	145	79
J13	150	133	80
J14	140	120	81
J15	105	108	82
J16	85	92	83
J17	63	73	84
J18	53	57	85
J19	37	41	86
J20	18	37	87
J21	130	135	88
J22	110	139	89
J23	93	138	90
J24	66	132	91
J25	86	122	92
J26	49	123	93
J27	18	108	94
J28	37	91	95
J29	44	74	96
J30	24	75	97
J31	23	57	98
J32	175	132	99
J33	175	115	100
J34	155	105	101
J35	140	105	102
J36	137	87	103
J37	106	94	104
J38	102	72	105
J39	77	79	106
J40	83	65	107
J41	58	47	108
J42	93	45	109
J43	33	29	110
J44	58	24	111
J45	80	30	112
J46	80	13	113
J47	234	118	114
J48	220	110	115
J49	168	83	116
J50	193	78	117
J51	149	68	118
J52	143	55	119
J53	195	60	120
J54	164	50	121
J55	183	50	122
J56	221	54	123
J57	165	40	124
J58	178	33	125
J59	196	39	126
J60	226	43	127
J61	160	18	128
J62	214	23	129
